symbol,signal,entryTime,outTime,pnl
ETHUSDT,-1,1675036823742.0,1675036833909.0,0.01459
BTCUSDT,1,1675036835190.0,1675036846189.0,-0.00590
ETHUSDT,1,1675036852920.0,1675036864177.0,0.01338
BTCUSDT,-1,1675036858022.0,1675036868198.0,-0.01095
BTCUSDT,1,1675036861332.0,1675036871350.0,0.02612
ETHUSDT,-1,1675036866568.0,1675036876709.0,-0.08148
ETHUSDT,1,1675036871223.0,1675036881257.0,0.03221
ETHUSDT,-1,1675036912164.0,1675036928018.0,0.01398
ETCUSDT,-1,1675036932917.0,1675036943043.0,-0.03945
BTCUSDT,-1,1675036931269.0,1675036948912.0,-0.04549
BTCUSDT,1,1675036939258.0,1675036950180.0,-0.00084
ETHUSDT,1,1675036943296.0,1675036970675.0,-0.03404
ETCUSDT,1,1675036965179.0,1675036975197.0,0.39841
BTCUSDT,-1,1675036972533.0,1675036983535.0,0.04254
ETHUSDT,-1,1675036975312.0,1675036986033.0,-0.00487
ETCUSDT,-1,1675036981064.0,1675036991083.0,-0.23090
ETCUSDT,1,1675036985958.0,1675036996027.0,-0.12181
BTCUSDT,1,1675036991929.0,1675037002287.0,-0.00885
ETHUSDT,1,1675036991831.0,1675037003782.0,-0.01033
ETCUSDT,-1,1675036993813.0,1675037003826.0,0.10875
ETCUSDT,1,1675036997739.0,1675037008100.0,0.20030
BTCUSDT,-1,1675036999859.0,1675037009963.0,0.00464
ETCUSDT,-1,1675037000077.0,1675037010087.0,-0.34457
ETCUSDT,1,1675037004288.0,1675037014312.0,0.27431
ETHUSDT,-1,1675037009993.0,1675037021102.0,-0.01641
BTCUSDT,1,1675037013178.0,1675037024915.0,-0.01517
ETCUSDT,-1,1675037015882.0,1675037025903.0,0.25183
ETCUSDT,1,1675037016177.0,1675037026397.0,-0.27781
ETCUSDT,-1,1675037017017.0,1675037027030.0,0.23450
ETHUSDT,1,1675037014857.0,1675037033953.0,-0.01398
ETCUSDT,1,1675037032289.0,1675037042367.0,0.06086
BTCUSDT,-1,1675037031524.0,1675037042783.0,0.00084
ETHUSDT,-1,1675037050139.0,1675037061034.0,-0.12100
BTCUSDT,1,1675037052170.0,1675037062173.0,0.08936
ETHUSDT,1,1675037053155.0,1675037064387.0,0.05894
ETCUSDT,-1,1675037063076.0,1675037073095.0,0.21632
ETCUSDT,1,1675037064899.0,1675037074922.0,-0.30704
ETCUSDT,-1,1675037068974.0,1675037078991.0,0.20351
ETCUSDT,1,1675037073071.0,1675037083134.0,0.05637
ETCUSDT,-1,1675037075967.0,1675037085968.0,-0.12144
ETCUSDT,1,1675037079399.0,1675037089633.0,-0.10397
ETCUSDT,-1,1675037085967.0,1675037095973.0,0.05632
ETCUSDT,1,1675037087093.0,1675037097118.0,-0.02166
ETCUSDT,-1,1675037088317.0,1675037098566.0,-0.06938
ETCUSDT,1,1675037096060.0,1675037106199.0,0.06069
ETCUSDT,-1,1675037114086.0,1675037124156.0,-0.01299
ETCUSDT,1,1675037114241.0,1675037124267.0,0.00866
ETCUSDT,-1,1675037125311.0,1675037135447.0,0.25542
ETHUSDT,-1,1675037124241.0,1675037136410.0,0.00850
BTCUSDT,-1,1675037124070.0,1675037140333.0,0.01095
